지역,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08
전국  5년 이하,68.19287081,68.3003804,68.33129874,68.38425294,68.46046415,68.37381821,68.20451088,68.05634674,68.21485607,68.47789804,68.75538485,68.93532039,69.14013942,69.30971396,69.67665255,70.28208171,70.55669729,70.84873081,71.14522612,71.5371649,72.01134828,72.73118553,73.29037834,73.83006452,74.31873237,74.92249365,75.49325217,75.6855292,75.74523469,75.89537288,76.09966915,76.32104211,76.73558558,77.18920741,77.60074804,78.00103785,78.4164819,78.86799457,79.41810889,80.1945025,80.76004263,81.55838394,81.80141583,82.0317443,82.41553224,82.93248404,83.33517478,83.61743985,83.78873137,84.03540779,84.12660991,84.32683288,84.5018112,84.6722588,84.84734383,84.98635376,85.13303275,85.28739675,85.4892039,85.63125171,85.678381,85.7428875,85.7176668,85.42862517,84.83970629,84.50577021,84.36776762,84.30815942,84.34689286,84.44276694,84.48291138,84.49660376,84.42654863,84.20125809,84.05282477,83.85379105,83.50433295,83.17113716,82.90358226,82.59623238,82.62943524,82.63420767,82.7603819,82.72082248,82.49006115,82.2524341,81.99182874,81.59056272,81.35871175,81.09212334,80.95257288,80.96299323,81.16149955,81.59583771,82.11763656,82.71202484,83.30423439,83.80770006,84.40444095,84.72009971,84.87981365,85.39801017,86.23303292,87.42527664,88.78614941,89.96418912,91.56945724,93.95027437,95.59664682,96.91720935,97.76647052,98.39375222,98.99328608,100,100.8707567,101.7307191,102.5154685,103.2510903,103.7787038,103.8330526,103.6523428,103.3513611,102.9560251,102.6213246,102.2768869,101.8584058,101.3738107,100.4382297
전국  5년 초과 ~ 10년 이하,71.0392022,71.08995796,71.22558778,71.18206187,71.16022909,71.08061984,70.93952514,70.84306251,71.03584319,71.3532492,71.60484656,71.75813247,71.96307021,72.20803961,72.61489867,73.1645249,73.5009297,73.73310585,74.02656256,74.47843922,74.95792124,75.70709069,76.32663529,76.80802505,77.80671011,78.41752106,79.11260505,79.3376439,79.47759585,79.60837608,79.81809131,80.06148635,80.4787852,80.86889028,81.24396896,81.60620422,81.89478471,82.32064478,82.80935939,83.57484924,84.1885911,84.78355769,85.14080307,85.52163527,86.02436829,86.49111999,86.95611553,87.33154843,87.48617214,87.67739582,87.82501226,87.97900978,88.13045181,88.25895669,88.36652412,88.47700391,88.59040334,88.80023434,89.04296703,89.16579205,89.25764945,89.33114592,89.40326126,89.5017515,89.628428,89.73621968,89.79080598,89.82809772,89.89195022,89.98008026,90.06190422,90.00365731,89.93068831,89.78145198,89.59926028,89.31882379,88.92921922,88.5920368,88.29597076,88.05648175,87.96481943,87.89945108,87.81860643,87.60690211,87.32795682,87.0068276,86.69236604,86.23908427,85.89138479,85.64562314,85.43583323,85.36985903,85.41853651,85.66782912,85.95481811,86.35211186,86.92281758,87.31524918,87.7110557,87.97155898,88.20257849,88.61350475,89.15002714,89.90777426,90.74675131,91.64653655,92.93485198,94.84844159,96.13687303,97.22363835,98.00473274,98.54996719,99.07846625,100,100.7247398,101.5876222,102.255041,102.986805,103.5182978,103.7274409,103.6300126,103.4889644,103.1799007,103.0069827,102.8121123,102.4823818,102.1802889,101.5415927
전국  10년 초과 ~ 15년 이하,72.97385009,73.0631758,73.24589855,73.35717611,73.41710916,73.45248421,73.3492253,73.34922439,73.629705,73.96499437,74.24141493,74.43829863,74.64410572,74.90984248,75.27783837,75.78893235,76.11905724,76.36724253,76.70827656,77.19351045,77.75701449,78.58288815,79.21074318,79.66089917,80.32665732,80.92731977,81.45960483,81.63684797,81.72531787,81.87032663,82.10098062,82.34434151,82.79868536,83.15924518,83.52223721,83.87267324,84.21774913,84.63216141,85.19334818,86.0010264,86.56198341,87.20447844,87.64781939,87.98029181,88.51265575,89.04134904,89.60049822,90.00276894,90.201158,90.37833953,90.51301341,90.65690019,90.80544295,90.94887986,91.08219951,91.20476439,91.29641068,91.55764963,91.77419272,91.84668674,91.88953066,91.93448071,92.05237016,92.1341563,92.26811307,92.37305186,92.38802912,92.45740702,92.52631617,92.5550323,92.5716302,92.5225345,92.41369504,92.30217026,92.11104253,91.86596473,91.50999216,91.11271612,90.80316621,90.50113553,90.2930549,90.20164503,90.05930185,89.76572611,89.47341648,89.17974575,88.89925442,88.5288088,88.23214675,87.96537193,87.71218143,87.6085517,87.59679586,87.70668134,87.91668885,88.20560585,88.69361589,89.01924438,89.32128687,89.49903854,89.63198455,90.11236794,90.66729261,91.28616009,92.02613035,92.64032159,93.53285965,94.97946238,96.02876816,97.02674018,97.7956929,98.40486891,98.99236938,100,100.8022554,101.7220259,102.4405788,103.3549569,104.0108944,104.3941004,104.5120421,104.5399152,104.4521512,104.3739863,104.2147777,104.0765311,103.8871494,103.3911812
전국  15년 초과 ~ 20년 이하,75.67105017,75.8776757,76.02182612,76.13809082,76.23535223,76.21996119,76.02187571,76.0169709,76.23805823,76.52539383,76.79180231,77.00918075,77.19064948,77.36506693,77.6629009,78.1788664,78.53845671,78.78166466,79.04601862,79.5222652,80.15760548,80.91619829,81.46743038,81.99979744,82.98888751,83.62168793,84.21660125,84.44922551,84.56614969,84.72528963,84.92338052,85.16857264,85.55462306,85.97010588,86.30946794,86.61749311,86.87838054,87.20575781,87.71635987,88.44099842,88.92989191,89.50648164,89.9478984,90.35737639,90.92539798,91.52066559,92.09693632,92.43164795,92.56989893,92.71063289,92.83737997,93.03559946,93.18027904,93.299994,93.40283608,93.46547273,93.57572946,93.81812667,94.04336471,94.13184405,94.1595663,94.20546238,94.28132701,94.38411948,94.50229909,94.61014786,94.67980042,94.73088945,94.7524554,94.78905526,94.82239826,94.76142597,94.65303586,94.49651303,94.28773032,94.03909721,93.65001785,93.32554748,93.02487127,92.74633267,92.59620872,92.50340035,92.32926696,92.08621279,91.82218332,91.54424558,91.18061925,90.73973465,90.41374991,90.10176987,89.82952571,89.64799825,89.57063769,89.65176873,89.80017381,90.02833532,90.32751453,90.64940886,90.87031525,90.95048508,91.11979908,91.44137451,91.82978336,92.39293731,93.10988516,93.60583934,94.32520918,95.44509618,96.3202581,97.23661776,97.84317269,98.35389794,98.90188241,100,100.8624349,101.8009953,102.6775457,103.5933511,104.220077,104.611576,104.7336233,104.7234903,104.69367,104.7159304,104.7599963,104.788209,104.6321147,104.2080561
전국  20년 초과,79.29975816,79.38298881,79.37770937,79.41141124,79.32441316,79.28814802,79.06954352,78.93928141,79.20448668,79.65847798,79.99399652,80.22205001,80.49904976,80.75149801,81.07367784,81.4717535,81.73951349,81.91474183,82.29848639,82.74099418,83.33448282,84.00330247,84.52819253,84.93772654,85.45943068,85.93522644,86.39368591,86.50466227,86.51485589,86.5670575,86.70702163,86.86225339,87.20113332,87.55626128,87.86656491,88.15692474,88.44936569,88.86297957,89.43816604,90.25699254,90.81742597,91.40807298,91.8201704,92.24180335,92.79371472,93.31009793,93.82441995,94.12749493,94.29045756,94.41712677,94.52015739,94.68609085,94.80340537,94.94694142,95.03212519,95.13596543,95.22098528,95.35422574,95.53641145,95.62286485,95.63675082,95.64625629,95.73532214,95.81576508,95.88881655,95.98061405,96.01587675,96.12720304,96.17692761,96.18605227,96.19604054,96.10784861,96.0130832,95.83115511,95.60028341,95.23947651,94.78115575,94.39913259,94.08930001,93.82184111,93.7267222,93.63876355,93.46573765,93.13844041,92.79507949,92.44065525,92.05868319,91.66015483,91.38985365,91.12598444,90.89743596,90.75661465,90.6839038,90.74139535,90.86069634,91.10834601,91.39921915,91.59502223,91.74157832,91.85464725,91.94460273,92.2487508,92.55633682,92.95901867,93.46876571,93.96167014,94.71052451,95.8169577,96.66722593,97.47257461,98.05223204,98.51895874,99.00046622,100,100.9175585,101.8542055,102.6685556,103.6431042,104.3318,104.7535494,104.9165234,104.9674914,105.0439646,105.1452958,105.2463209,105.3328855,105.3206227,105.0637437
수도권  5년 이하,65.07655304,65.20351651,65.11252065,65.02185479,65.02415207,64.89472897,64.5476854,64.32810082,64.56196559,64.84775652,65.08678604,65.18258013,65.33517527,65.43130653,65.80649034,66.53286956,66.71065429,66.97451902,67.28927273,67.82797173,68.51449658,69.41523218,70.11389673,70.74700702,71.3028978,72.15385466,72.90400172,73.08558158,73.14702882,73.37324047,73.5896298,73.90756121,74.48052269,75.03055132,75.50756252,75.98560427,76.56461381,77.19810597,77.93682706,78.92673498,79.64439546,80.72657173,81.09683362,81.4452527,81.9593314,82.6887085,83.24977621,83.52757791,83.71873026,83.95911408,84.07723268,84.3237643,84.58815796,84.6985112,84.93523239,85.02038978,85.25037881,85.3412552,85.55007771,85.74622227,85.78768283,85.84523075,85.84986463,85.77719645,85.76372669,85.58271095,85.54181446,85.58223828,85.57988035,85.70803142,85.74407939,85.67368792,85.4625041,85.21609818,85.04448871,84.77485006,84.40345917,84.12599216,83.97092129,83.82111546,84.07031647,84.17013659,84.08458957,83.81764223,83.32650734,82.91478898,82.46287461,82.01397864,81.79076001,81.56344699,81.5762641,81.79614298,82.29468273,83.06058323,83.92734383,84.68823194,85.17969823,85.85433327,86.57875272,86.93881747,87.06064549,87.63642952,88.56718767,89.65561063,91.01831381,92.10795603,93.59165603,95.34821533,96.4406376,97.48006185,98.13459335,98.56682522,99.00858056,100,101.0870377,102.2195935,103.1727353,103.9618111,104.3747769,104.3102674,103.9369758,103.4642416,102.8608814,102.515798,102.1374056,101.647347,101.058107,99.88448595
수도권  5년 초과 ~ 10년 이하,66.81668077,66.86284344,66.8944165,66.69735589,66.54481762,66.39336968,66.22218604,66.0678033,66.26814565,66.59707901,66.85909381,66.88823361,67.09205119,67.34154074,67.82620329,68.41391152,68.7762812,68.97267131,69.30355331,69.92883823,70.60638178,71.57821809,72.41466808,73.01054063,74.24871827,75.07413896,76.03942236,76.26243681,76.327669,76.42511672,76.69952556,76.98568134,77.53216723,78.02977122,78.46266163,78.86330775,79.21089015,79.82428437,80.4592402,81.47781846,82.31525359,83.09587783,83.53835692,84.00419603,84.60985195,85.18521143,85.79043121,86.23630613,86.46411564,86.70188371,86.8966644,87.12167885,87.3068897,87.55188581,87.76300728,87.94067364,88.11855024,88.41994525,88.7021007,88.81170472,88.91005714,88.99114864,89.05093917,89.23770556,89.44738118,89.68482135,89.82975338,89.9789087,90.09052178,90.21743183,90.38771583,90.34217628,90.32342289,90.10692345,89.84568949,89.51729942,89.10380369,88.73286845,88.5246879,88.44416162,88.54523887,88.61135282,88.55202417,88.33285435,87.97995952,87.51714682,87.07723992,86.49030568,86.03034022,85.80761728,85.55066042,85.5861318,85.77345952,86.21547357,86.62516818,87.19559937,87.78853578,88.319091,88.83364061,89.16110157,89.41087736,89.80443041,90.38391844,91.20764655,92.12542022,93.0793875,94.42558153,95.90393909,96.77320116,97.79392798,98.40625799,98.81541185,99.16020825,100,100.8175639,101.7805865,102.5291303,103.412023,104.007082,104.255627,104.1635957,103.9292021,103.5834176,103.4026567,103.2476141,102.9779771,102.6550832,101.9615255
수도권  10년 초과 ~ 15년 이하,67.25740028,67.33330818,67.28643723,67.22675328,67.08342774,66.95425214,66.80878938,66.72374653,67.0433743,67.40469632,67.67681224,67.79166569,67.917793,68.14688241,68.55388951,69.06420274,69.3161538,69.56887662,69.91809164,70.53424811,71.27870091,72.33518416,73.10419692,73.60209208,74.42127949,75.2023672,75.91265608,76.09324845,76.1762987,76.3286419,76.62270699,76.95333581,77.55951094,78.01147192,78.48894819,78.92360399,79.3402639,79.84621686,80.51010901,81.47302648,82.1645208,82.96265375,83.58944674,84.03733559,84.74279607,85.45242821,86.17558674,86.68517578,86.93682549,87.1419356,87.32156562,87.53793029,87.76863659,88.05511992,88.30949248,88.52927765,88.67241903,88.97792859,89.221685,89.31227507,89.37411657,89.44164277,89.56009221,89.75167048,89.94553706,90.10531409,90.2438163,90.39168062,90.51434009,90.60612486,90.71924892,90.68298371,90.58630843,90.4759836,90.33830368,90.12065894,89.75090138,89.42028362,89.10577474,88.85361991,88.71850382,88.78499007,88.71136183,88.48419263,88.20054052,87.84000063,87.48852706,87.06257377,86.77760307,86.55194207,86.36357528,86.37598111,86.50617204,86.77416496,87.11967904,87.5831246,88.20996099,88.63679355,89.03669376,89.25864186,89.46884618,90.04683266,90.65195052,91.38648887,92.21514055,92.89483322,93.82987027,95.00307404,95.92001526,96.95601856,97.78292032,98.33188573,98.83526692,100,100.9825401,102.1171634,102.9219362,103.9689811,104.6389403,104.9953127,104.9914766,104.9740643,104.8473538,104.7049623,104.5440399,104.4034921,104.1659715,103.3807317
수도권  15년 초과 ~ 20년 이하,68.14034217,68.33225974,68.31996612,68.24338687,68.10362798,67.94674605,67.60692866,67.5041072,67.7497173,68.03632971,68.22643198,68.23388264,68.34708322,68.46788573,68.73077203,69.13023937,69.37390839,69.50637497,69.74050781,70.38749641,71.32421119,72.35541482,72.96420492,73.52423616,74.76111205,75.59651505,76.48038687,76.70747961,76.78245739,76.9749578,77.280386,77.66654599,78.2214438,78.74566866,79.18110616,79.58982019,79.9114892,80.36728454,80.9962184,81.92723916,82.57876255,83.39278137,84.03155527,84.62390844,85.40991787,86.2317074,87.02786194,87.50184516,87.72610351,87.94796676,88.18545828,88.52898335,88.79034547,89.11997639,89.38512903,89.63273148,89.78853786,90.11004887,90.43218159,90.57255496,90.61666314,90.70906807,90.80227375,90.98264225,91.19771623,91.41678468,91.5829933,91.7485259,91.82560341,91.92534705,92.05998822,92.02607536,91.89771591,91.69889818,91.50121246,91.24363555,90.87783949,90.5376379,90.27066725,90.08557506,90.02011424,90.08424738,89.9778467,89.74735004,89.46009508,89.16125436,88.80766807,88.30625574,88.01645487,87.80387752,87.58551105,87.51916612,87.54507942,87.80350683,88.12227854,88.5139814,88.96548406,89.41862684,89.72150609,89.85462406,90.1079921,90.50573141,90.97642737,91.65817168,92.49036962,93.07926526,93.90318496,95.04318018,95.94414366,97.01018156,97.66259923,98.18632647,98.71740094,100,101.1441357,102.3105464,103.343219,104.3583003,104.9626003,105.30404,105.3411548,105.1894907,105.0335584,104.9888156,104.9910973,104.9871621,104.7468032,104.2356557
수도권  20년 초과,71.12156891,71.04407721,70.84948694,70.63068289,70.34314886,70.16533258,69.81185186,69.63695816,69.96883788,70.50989827,70.87469613,71.05880085,71.2388685,71.51184204,71.82592566,72.02319667,72.16455342,72.22841841,72.6495105,73.25910017,74.11488571,75.05218864,75.75701186,76.2576762,76.96962764,77.60545407,78.20708684,78.20288088,78.13719736,78.09317302,78.26288356,78.40001925,78.89251149,79.34126321,79.70891125,80.01727977,80.36069389,80.97508361,81.79287119,82.9443479,83.77294519,84.58195881,85.21188621,85.8097696,86.59250253,87.28477515,88.01005297,88.46888127,88.70190895,88.87653089,89.02451324,89.23745242,89.44368588,89.75590644,89.94999829,90.13170764,90.26079601,90.41547647,90.67922158,90.76828964,90.7614764,90.77580523,90.88561134,91.03155261,91.18388198,91.43347393,91.60290356,91.87998386,92.02352309,92.10111486,92.2104042,92.16131656,92.10331279,91.93883161,91.63921099,91.22980472,90.73030996,90.36403302,90.10662817,89.95840656,90.06822266,90.13281396,90.0465643,89.72599055,89.31407769,88.86140184,88.38556775,87.93400946,87.74517002,87.55985672,87.46364277,87.47051722,87.565276,87.84132731,88.13630508,88.60667608,89.149854,89.46557449,89.7046605,89.94948407,90.13635523,90.60896291,91.0843555,91.70101599,92.43242276,93.08614392,93.96221801,95.07354292,96.03007733,96.97478776,97.68349178,98.1946106,98.7368881,100,101.2744686,102.5826442,103.76849,104.9106929,105.7092594,106.075174,106.1114321,106.0504453,106.0276677,106.0491462,106.0854473,106.0941181,105.9963776,105.5440111
지방권  5년 이하,71.63693208,71.72215111,71.89192155,72.10908173,72.26997969,72.23270203,72.2689093,72.20389531,72.27467456,72.51076591,72.83205668,73.11846218,73.38859952,73.65129038,74.00407165,74.4481878,74.84471019,75.17026076,75.44048302,75.64059102,75.84000488,76.32494078,76.7042134,77.12269986,77.53086038,77.8252066,78.17223358,78.37635013,78.43354072,78.4898147,78.65689702,78.75791591,78.97548437,79.3084055,79.63753704,79.94079507,80.16124302,80.39701446,80.72434445,81.24925623,81.6365332,82.10560873,82.24105449,82.37180023,82.64579272,82.9846311,83.25504478,83.54049953,83.69501553,83.9464612,84.015192,84.17670626,84.2774356,84.49724728,84.62106883,84.80433614,84.89110714,85.09062214,85.28703125,85.39010056,85.44119733,85.51056233,85.46403516,85.02115345,84.02603821,83.58530786,83.37952425,83.25007248,83.31745086,83.3905712,83.4334987,83.508339,83.54129533,83.33176931,83.2004948,83.05339562,82.72051733,82.34705085,81.99775551,81.57615815,81.45263383,81.38867779,81.66791416,81.79377983,81.74571058,81.63092801,81.50581391,81.13898929,80.90146125,80.60759068,80.360753,80.22386975,80.21213694,80.41519813,80.69781542,81.17657486,81.8452948,82.21826681,82.71783155,82.99968923,83.18804677,83.66235757,84.42450248,85.69483338,87.05372435,88.29845777,89.99577778,92.85546641,94.93211336,96.47284201,97.47531031,98.25661734,98.98115002,100,100.6913238,101.3261189,101.9722989,102.6639981,103.2858055,103.4380264,103.4163328,103.2576222,103.035181,102.709127,102.3929767,102.0341834,101.6369922,100.9008689
지방권  5년 초과 ~ 10년 이하,75.56947525,75.62574964,75.90923132,76.09029851,76.26026683,76.28805244,76.19459728,76.18584195,76.36283114,76.65564274,76.885899,77.20215646,77.40559906,77.64098794,77.93858168,78.42997742,78.72734201,79.00361609,79.24354147,79.46102653,79.67525653,80.12608932,80.45889842,80.78815069,81.47928187,81.81383974,82.16477963,82.3901523,82.62168294,82.79269889,82.92367703,83.11167845,83.36516355,83.61910674,83.91965716,84.23144305,84.45971273,84.6954758,85.03639013,85.54766996,85.93828102,86.34896231,86.62258308,86.92018147,87.32235492,87.68334513,88.01233692,88.31951532,88.40353375,88.54984828,88.65204334,88.73779316,88.85676707,88.87374005,88.88241217,88.92882382,88.97675104,89.09372248,89.29637964,89.43243192,89.51763547,89.58338713,89.66787573,89.67719241,89.72015356,89.69758061,89.66156586,89.58696066,89.60307469,89.65244296,89.64609268,89.57390321,89.44138409,89.36619319,89.27116471,89.0437929,88.68080399,88.38111427,87.98822298,87.57393643,87.27110157,87.06223731,86.95800301,86.75458068,86.56570916,86.41769491,86.25700604,85.96803982,85.75880971,85.48445493,85.33289579,85.14153383,85.01943827,85.03245447,85.16966117,85.35638704,85.90106229,86.13244836,86.39020663,86.57302127,86.78226138,87.21321626,87.69984877,88.38106797,89.12878229,89.96578308,91.18697205,93.60427937,95.38312031,96.5475559,97.52780226,98.23418889,98.98102525,100,100.6325584,101.3961805,101.9833255,102.5658759,103.0347285,103.2050819,103.1023459,103.0532212,102.7803674,102.6151878,102.381049,101.9921295,101.7105251,101.1258983
지방권  10년 초과 ~ 15년 이하,80.85237488,80.9594349,81.43407404,81.76367637,82.08396285,82.33114519,82.28162394,82.39154329,82.62322814,82.92716675,83.21102501,83.52536559,83.84533653,84.16230008,84.47080664,84.97924781,85.42029264,85.6600442,85.98672331,86.27949264,86.57977982,87.07297377,87.49855663,87.87974388,88.32579673,88.67296053,88.95723591,89.12948977,89.22526729,89.3598579,89.49110732,89.61335657,89.85792849,90.09270155,90.2989264,90.53442401,90.76155934,91.02608882,91.41859173,91.97337576,92.32450143,92.71860989,92.88712253,93.04712827,93.32185906,93.58309628,93.90063416,94.14527929,94.26566421,94.40149297,94.47072573,94.50980068,94.53989713,94.47854537,94.43912733,94.42329024,94.44317234,94.64184374,94.81968247,94.86683141,94.8832547,94.89685665,95.01336895,94.94369143,94.99474127,95.02400158,94.8699984,94.83200052,94.82740213,94.77024503,94.65581068,94.59092727,94.46726549,94.35450784,94.09764208,93.8191798,93.48105457,93.00225169,92.69951409,92.33654797,92.03892775,91.75350902,91.52717598,91.15287378,90.8509829,90.63308766,90.43316009,90.12593641,89.81623087,89.50302413,89.1765818,88.94185305,88.77014192,88.70243725,88.76072645,88.8549725,89.19733187,89.4170875,89.61699827,89.74869937,89.80126016,90.18029296,90.68318511,91.18236593,91.83078131,92.37745957,93.22623752,94.95501402,96.14153327,97.10004078,97.80892318,98.48051453,99.15534328,100,100.6311445,101.3477587,101.9850062,102.7745242,103.417263,103.8256782,104.0582403,104.1288043,104.0777857,104.0602744,103.9026865,103.7666158,103.6227457,103.4011173
지방권  15년 초과 ~ 20년 이하,83.28049222,83.50242504,83.79407551,84.09241243,84.4142624,84.53311335,84.4690187,84.55774268,84.75650319,85.04604857,85.38682899,85.81147602,86.06071657,86.28844834,86.6213237,87.25341698,87.72846394,88.08200953,88.37667302,88.68407407,89.02394086,89.51882277,90.01623236,90.52390739,91.26272394,91.70094201,92.01970698,92.25868113,92.41640154,92.54422762,92.63743417,92.74897091,92.97619065,93.29078301,93.54121781,93.75611347,93.9603798,94.16738806,94.56870525,95.10297791,95.44232876,95.80110006,96.06509745,96.31107475,96.6859796,97.08190113,97.4658772,97.67912251,97.74195476,97.8117896,97.84136818,97.91277697,97.95579769,97.89192211,97.85347553,97.75514639,97.82342192,97.99339844,98.12960653,98.17024861,98.18287644,98.18571107,98.24598026,98.27727872,98.30625797,98.31173918,98.29253325,98.23828929,98.20882801,98.18755371,98.12800754,98.03807466,97.95045192,97.83823998,97.61685013,97.37675281,96.96141062,96.65239924,96.31472354,95.93587742,95.69543247,95.43635926,95.19008548,94.93279124,94.69554277,94.44167951,94.06587285,93.69524984,93.32653491,92.8980132,92.56256538,92.24667543,92.04925897,91.92528327,91.87754895,91.91835071,92.02407382,92.17988689,92.29735438,92.3108428,92.37448009,92.60047186,92.88582609,93.30085569,93.87428015,94.25481025,94.8446595,95.93965075,96.78290581,97.51466104,98.06478123,98.55951733,99.12829205,100,100.4944664,101.137092,101.8116985,102.5994026,103.2549806,103.7110227,103.9427825,104.1159423,104.2499265,104.3594005,104.457919,104.5280608,104.4820108,104.1718991
지방권  20년 초과,87.2172857,87.4977901,87.72893747,88.07875279,88.24791828,88.39263811,88.35314984,88.28425475,88.45555978,88.78404968,89.07178998,89.34706577,89.73329119,89.95568732,90.28037612,90.90722339,91.3190397,91.622769,91.95365829,92.18884155,92.46184909,92.80488198,93.11199031,93.40930067,93.71859318,94.00658337,94.29754901,94.53602299,94.63132066,94.79107105,94.9207917,95.0940313,95.25854718,95.50600517,95.74943578,96.01648997,96.24923301,96.43785104,96.74227755,97.19304213,97.46061468,97.81330847,97.99003835,98.22153262,98.52594447,98.85408541,99.14476293,99.2841431,99.37349642,99.44975989,99.50571383,99.62206902,99.64715861,99.61682368,99.59016335,99.61392768,99.65512525,99.76663111,99.86777892,99.95126652,99.98542229,99.98914236,100.0572697,100.0726455,100.0671895,100.0033904,99.90696759,99.85582933,99.81391758,99.75639489,99.66990328,99.54580839,99.41733696,99.21970386,99.05274252,98.7376158,98.31839702,97.92265453,97.56500289,97.1879674,96.90431894,96.67655165,96.42440646,96.09155059,95.81089153,95.5463265,95.25049472,94.90105628,94.55688389,94.22187466,93.87334684,93.59879748,93.37480662,93.23545937,93.19712627,93.24569826,93.31587071,93.40717695,93.47329241,93.47213386,93.47826674,93.63708321,93.80042334,94.01991415,94.34075172,94.69713814,95.33830159,96.44054903,97.20110347,97.88910842,98.36040124,98.78991116,99.22052545,100,100.6172442,101.2433056,101.749102,102.5849702,103.1829682,103.6506966,103.9182948,104.0619045,104.2206572,104.3882895,104.5431225,104.6945273,104.7535237,104.6600167
6대광역시  5년 이하,67.86571969,67.86777084,68.14043493,68.22934743,68.51016806,68.50066839,68.42738556,68.41592045,68.63152828,68.90264668,69.15598213,69.43180517,69.5373468,69.7052419,69.99935333,70.41825593,70.66922901,70.9432213,71.33834501,71.61869122,71.89553088,72.40278931,73.0143186,73.55624084,73.80951424,74.13020527,74.50313806,74.73704527,74.84828836,74.85122151,74.95677137,75.13266926,75.47192863,75.86777044,76.22966713,76.54405073,76.80208291,77.07814525,77.52567084,78.12527229,78.55611444,79.3680576,79.54793725,79.68460101,79.9922672,80.3318512,80.72797703,80.99137149,81.14961152,81.38129803,81.50307011,81.7348071,81.87545366,82.05147216,82.11675875,82.20926809,82.30355859,82.49649143,82.68437792,82.8230367,82.95653713,83.07879562,83.16301242,83.31578025,83.30696081,83.38765854,83.49660917,83.49188045,83.68369573,83.78500718,84.04518599,84.10567686,84.07191431,83.93557778,83.91710457,83.88692587,83.67019776,83.51399204,83.32511415,82.98696544,82.98825744,82.90529102,82.83359225,82.72220152,82.55520772,82.46225959,82.45622402,82.27436332,82.13631443,81.98914777,81.85382651,81.8441149,82.10706455,82.50261457,82.93333645,83.41576722,83.88807839,84.42511101,84.75507865,85.00458976,85.12759073,85.43544203,85.79335397,86.3261639,87.33477115,88.35874189,90.091672,92.85925213,94.72220813,96.20004121,97.32096897,98.11549398,98.90758191,100,100.8971706,101.5402782,102.1323185,102.5748776,102.8835301,102.8461288,102.3709092,101.7183294,101.0159604,100.3576135,99.66759814,98.86970001,98.13251342,96.89177408
6대광역시  5년 초과 ~ 10년 이하,67.0746034,66.96816715,67.20762221,67.35246551,67.54224666,67.47016485,67.3697002,67.24355736,67.41203056,67.63879973,67.88716701,67.99506356,68.19250231,68.45665447,68.84180691,69.43738271,69.71741437,70.02323977,70.3725791,70.72659192,71.06149836,71.65740234,72.2216251,72.69322425,73.38655712,73.87410147,74.50975764,74.70739254,74.87411564,75.03607992,75.23140048,75.44184589,75.80844461,76.07494672,76.36954651,76.69214867,76.95682165,77.25558369,77.6756333,78.53935737,79.22899886,79.85123233,80.28080153,80.62481511,81.0067727,81.44068465,81.92032075,82.28661167,82.37876121,82.59020883,82.71294792,82.85113909,83.0404104,83.07423924,83.15816713,83.23044031,83.31852121,83.48932801,83.72008146,83.89251639,83.98219913,84.05396383,84.12547088,84.19274818,84.38335206,84.44391486,84.53159839,84.70960879,84.85503279,84.96767326,85.07210587,84.9920713,84.91514379,84.83422486,84.83596666,84.7469204,84.46751205,84.24338091,84.04366547,83.73140094,83.58995209,83.55371832,83.53483735,83.4251986,83.24681185,83.0628384,82.92622675,82.56983046,82.33407898,82.15311459,82.04832431,81.93834384,81.95100498,82.18468515,82.49634114,82.77845889,83.28143952,83.64993395,84.14628314,84.55274622,84.72164376,84.95481596,85.22082895,85.77793267,86.68499868,87.63836065,89.51106241,92.52074392,94.49156983,96.00492933,97.24492356,98.02232974,98.85304952,100,100.8750169,101.7032023,102.2529471,102.7726001,103.1722378,103.2757014,102.9494838,102.5078666,101.7301411,101.3988405,100.9589215,100.3403564,99.7470146,98.84596373
